"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",4605.95,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",4710.617,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",4964.533,"E"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2019",5187.419,"E"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5195.36,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2017",5360.423,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5538.347,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2019",5851.055,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2016",4777.091,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2017",5013.987,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2018",5103.2,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2019",5427.957,"E"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2016",5020.598,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2017",5155.347,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2018",5287.406,"P"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2019",5418.383,"P"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2016",2670.883,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2017",2891.435,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2018",3170.668,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2019",3427.91,"E"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2016",4849.601,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2017",5107.207,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2018",5294.51,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2019",5567.899,"E"
"FIN","HEALTHEXP","TOT","USD_CAP","A","2016",4103.423,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2017",4221.84,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2018",4331.459,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2019",4578.42,"E"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2016",4934.851,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2017",5056.85,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2018",5154.119,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2019",5375.699,"E"
"DEU","HEALTHEXP","TOT","USD_CAP","A","2016",5667.773,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2017",6010.556,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2018",6223.787,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2019",6645.757,"P"
"GRC","HEALTHEXP","TOT","USD_CAP","A","2016",2220.792,
